year,week,sales_1,sales_2,cum_week,demand
2013,1,802,2067,1,"[802, 2067]"
2013,2,863,2350,2,"[863, 2350]"
2013,3,865,2427,3,"[865, 2427]"
2013,4,799,2329,4,"[799, 2329]"
2013,5,954,2414,5,"[954, 2414]"
2013,6,935,2619,6,"[935, 2619]"
2013,7,947,2631,7,"[947, 2631]"
2013,8,961,2561,8,"[961, 2561]"
2013,9,1096,2781,9,"[1096, 2781]"
2013,10,1182,3105,10,"[1182, 3105]"
2013,11,1134,3168,11,"[1134, 3168]"
2013,12,1160,3119,12,"[1160, 3119]"
2013,13,1149,3079,13,"[1149, 3079]"
2013,14,1422,3580,14,"[1422, 3580]"
2013,15,1379,3520,15,"[1379, 3520]"
2013,16,1332,3500,16,"[1332, 3500]"
2013,17,1326,3445,17,"[1326, 3445]"
2013,18,1384,3819,18,"[1384, 3819]"
2013,19,1423,3823,19,"[1423, 3823]"
2013,20,1428,3964,20,"[1428, 3964]"
2013,21,1454,3815,21,"[1454, 3815]"
2013,22,1470,3982,22,"[1470, 3982]"
2013,23,1529,4147,23,"[1529, 4147]"
2013,24,1560,4067,24,"[1560, 4067]"
2013,25,1565,4078,25,"[1565, 4078]"
2013,26,1548,4162,26,"[1548, 4162]"
2013,27,1593,4419,27,"[1593, 4419]"
2013,28,1682,4300,28,"[1682, 4300]"
2013,29,1649,4415,29,"[1649, 4415]"
2013,30,1598,4390,30,"[1598, 4390]"
2013,31,1487,3949,31,"[1487, 3949]"
2013,32,1467,3938,32,"[1467, 3938]"
2013,33,1430,3880,33,"[1430, 3880]"
2013,34,1496,3889,34,"[1496, 3889]"
2013,35,1424,3816,35,"[1424, 3816]"
2013,36,1324,3541,36,"[1324, 3541]"
2013,37,1386,3580,37,"[1386, 3580]"
2013,38,1273,3684,38,"[1273, 3684]"
2013,39,1342,3535,39,"[1342, 3535]"
2013,40,1257,3406,40,"[1257, 3406]"
2013,41,1279,3361,41,"[1279, 3361]"
2013,42,1258,3273,42,"[1258, 3273]"
2013,43,1199,3344,43,"[1199, 3344]"
2013,44,1338,3455,44,"[1338, 3455]"
2013,45,1389,3580,45,"[1389, 3580]"
2013,46,1321,3710,46,"[1321, 3710]"
2013,47,1390,3632,47,"[1390, 3632]"
2013,48,1346,3422,48,"[1346, 3422]"
2013,49,1016,2584,49,"[1016, 2584]"
2013,50,914,2564,50,"[914, 2564]"
2013,51,984,2582,51,"[984, 2582]"
2013,52,977,2630,52,"[977, 2630]"
2014,1,954,2766,53,"[954, 2766]"
2014,2,972,2657,54,"[972, 2657]"
2014,3,981,2651,55,"[981, 2651]"
2014,4,996,2666,56,"[996, 2666]"
2014,5,991,2866,57,"[991, 2866]"
2014,6,1130,3020,58,"[1130, 3020]"
2014,7,1044,3058,59,"[1044, 3058]"
2014,8,1105,2966,60,"[1105, 2966]"
2014,9,1194,3148,61,"[1194, 3148]"
2014,10,1311,3684,62,"[1311, 3684]"
2014,11,1345,3591,63,"[1345, 3591]"
2014,12,1341,3546,64,"[1341, 3546]"
